pdate,dataset_role,operations,delinquent_operations,delinquency_rate,avg_loan_amount_30d,avg_loans_30d
2016-06-01,TRAIN,2535,348.0,0.13727810650887573,6.828402366863905,1.1380670611439843
2016-06-02,TRAIN,2577,352.0,0.136592937524253,7.369033760186263,1.2281722933643773
2016-06-03,TRAIN,2489,366.0,0.14704700683005223,7.9815186822016875,1.3302531137002813
2016-06-04,TRAIN,1559,239.0,0.15330339961513792,8.220654265554844,1.3701090442591404
2016-06-05,TRAIN,2564,416.0,0.1622464898595944,8.403276131045242,1.4005460218408736
2016-06-06,TRAIN,2631,376.0,0.14291144051691373,9.409350057012542,1.5682250095020904
2016-06-07,TRAIN,2502,357.0,0.14268585131894485,9.863309352517986,1.643884892086331
2016-06-08,TRAIN,2580,396.0,0.15348837209302327,10.581395348837209,1.7635658914728682
2016-06-09,TRAIN,2604,384.0,0.14746543778801843,10.601382488479263,1.7668970814132103
2016-06-10,TRAIN,2858,523.0,0.18299510146955913,11.084674597620713,1.847445766270119
2016-06-11,TRAIN,2915,515.0,0.17667238421955403,11.35368782161235,1.8922813036020583
2016-06-12,TRAIN,2936,538.0,0.18324250681198911,11.983651226158038,1.997275204359673
2016-06-13,TRAIN,2897,522.0,0.18018639972385225,12.416292716603383,2.069382119433897
2016-06-14,TRAIN,2945,505.0,0.17147707979626486,13.142954159592529,2.1904923599320885
2016-06-15,TRAIN,3033,536.0,0.17672271678206397,13.137487636003957,2.189581272667326
2016-06-16,TRAIN,2824,454.0,0.16076487252124647,13.63385269121813,2.2723087818696883
2016-06-17,TRAIN,3082,511.0,0.16580142764438677,14.256327060350422,2.376054510058404
2016-06-18,TRAIN,2972,478.0,0.16083445491251683,14.727456258411843,2.4545760430686405
2016-06-19,TRAIN,2833,416.0,0.14684080480056477,15.282739145781857,2.5471231909636427
2016-06-20,TRAIN,3099,547.0,0.17650855114553082,15.316553727008712,2.552758954501452
2016-06-21,TRAIN,2890,462.0,0.15986159169550174,15.853287197231834,2.6422145328719724
2016-06-22,TRAIN,2906,485.0,0.16689607708189952,16.816930488644186,2.8028217481073643
2016-06-23,TRAIN,2964,472.0,0.1592442645074224,17.289473684210527,2.8815789473684212
2016-06-24,TRAIN,2785,425.0,0.1526032315978456,17.892280071813286,2.9820466786355477
2016-06-25,TRAIN,2956,440.0,0.14884979702300405,18.121786197564276,3.020297699594046
2016-06-26,TRAIN,2901,454.0,0.15649775939331265,17.902792140641157,2.98379869010686
2016-06-27,TRAIN,2999,508.0,0.1693897965988663,18.78426142047349,3.130710236745582
2016-06-28,TRAIN,2664,364.0,0.13663663663663664,20.12837837837838,3.2935435435435436
2016-06-29,TRAIN,2832,418.0,0.1475988700564972,19.91313559322034,3.2598870056497176
2016-06-30,TRAIN,2822,454.0,0.16087880935506732,19.64351523742027,3.2090715804394048
2016-07-01,TRAIN,2954,486.0,0.16452268111035884,19.649289099526065,3.2163168584969535
2016-07-02,TRAIN,2910,499.0,0.17147766323024055,19.04123711340206,3.102749140893471
2016-07-03,TRAIN,2905,461.0,0.15869191049913942,19.35077452667814,3.1545611015490533
2016-07-04,TRAIN,3150,564.0,0.17904761904761904,19.257142857142856,3.141269841269841
2016-07-05,TRAIN,3127,581.0,0.18580108730412537,18.65046370322993,2.984010233450592
2016-07-06,TRAIN,3041,565.0,0.18579414666228214,20.201907267346268,3.2147319960539296
2016-07-07,TRAIN,3116,562.0,0.1803594351732991,20.547496790757382,3.269255455712452
2016-07-08,EMBARGO,2891,542.0,0.18747838118298166,20.154271878242824,3.205119335869941
2016-07-09,EMBARGO,2922,526.0,0.18001368925393565,20.349075975359344,3.232375085557837
2016-07-10,EMBARGO,3014,570.0,0.18911745189117452,19.739880557398806,3.1184472461844726
